doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
2,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
3,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
4,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
5,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
6,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
7,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
8,NA,2309.881,2453.582,2314.057,NA,2085.433,NA,NA,2089.293,NA,NA,NA,NA,NA,NA,NA
9,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
10,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
11,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
12,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
13,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
14,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
15,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
16,NA,2486.65,2372.944,2150.058,NA,2745.869,NA,NA,NA,NA,NA,NA,NA,NA,1929.109,NA
17,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
18,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
19,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
20,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
21,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
22,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
23,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
24,2633.67,2401.793,NA,2120.048,NA,2268.785,NA,NA,2027.59,NA,NA,2108.391,2049.955,2385.131,2206.749,NA
25,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
26,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
27,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
28,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
29,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
30,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
31,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
32,NA,2288.822,NA,NA,NA,2203.402,NA,NA,2048.327,NA,NA,2553.146,NA,2355.221,2306.895,NA
33,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
34,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
35,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
36,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
37,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
38,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
39,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
40,NA,NA,NA,NA,2336.444,2169.759,NA,NA,2099.612,NA,NA,NA,1922.074,NA,NA,NA
41,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
42,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
43,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
44,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
45,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
46,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
47,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
48,NA,2397.293,2143.045,NA,2351.231,2117.373,NA,NA,2401.971,NA,2373.661,NA,2223.538,2330.607,NA,NA
49,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
50,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
51,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
52,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
53,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
54,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
55,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
56,NA,2337.56,NA,NA,2391.733,2582.553,2309.549,NA,2066.268,NA,2301.873,2029.239,2229.908,2267.431,NA,NA
57,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
58,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
59,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
60,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
61,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
62,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
63,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
64,NA,2255.957,NA,NA,2399.068,2203.134,NA,2438.625,NA,NA,2141.025,2062.394,NA,2150.79,1832.197,2075.215
65,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
66,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
67,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
68,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
69,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
70,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
71,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
72,2848.439,NA,NA,2171.241,2343.126,2297.678,1986.14,2421.952,2328.624,NA,NA,NA,NA,NA,NA,2271.343
73,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
74,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
75,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
76,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
77,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
78,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
79,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
80,2742.299,NA,2481.725,2173.622,2375.425,2374.12,2409.888,2427.986,2269.782,2150.919,NA,2128.802,2305.071,2222.27,2238.798,2561.616
81,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
82,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
83,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
84,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
85,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
86,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
87,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
88,2802.059,2261.549,2671.292,2286.176,2784.322,NA,2787.661,2415.528,2479.251,2282.558,NA,2692.753,NA,NA,2301.993,2529.829
89,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
90,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
91,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
92,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
93,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
94,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
95,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
96,3002.194,2258.296,2418.637,3055.124,2701.654,2239.293,3162.252,2216.14,2420.15,NA,2078.942,3297.693,2399.994,NA,2507.602,2548.496
97,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
98,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
99,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
100,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
101,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
102,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
103,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
104,3134.614,2861.946,3082.37,3078.189,3183.768,2741.394,3275.329,NA,2510.962,2667.692,2442.139,3349.986,NA,2327.175,2630.959,4170.061
105,3393.693,3401.433,3915.164,3470.389,NA,3121.984,3380.443,4149.204,3014.858,3363.105,3909.524,3395.864,2774.45,2576.225,3660.669,2672.918
106,3393.693,3401.433,3915.164,3470.389,NA,3121.984,3380.443,4149.204,3014.858,3363.105,3909.524,3395.864,2774.45,2576.225,3660.669,2672.918
107,3393.693,3401.433,3915.164,3470.389,NA,3121.984,3380.443,4149.204,3014.858,3363.105,3909.524,3395.864,2774.45,2576.225,3660.669,2672.918
