"","doy","2002_NDVI","2003_NDVI","2004_NDVI","2005_NDVI","2006_NDVI","2007_NDVI","2008_NDVI","2009_NDVI","2010_NDVI","2011_NDVI","2012_NDVI","2013_NDVI","2014_NDVI","2015_NDVI"
"1",113,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"2",114,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"3",115,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"4",116,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"5",117,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"6",118,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"7",119,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"8",120,NA,2707,2499,NA,2422,2577,2418,2490,2544,2332,2478,NA,1590,2346
"9",121,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"10",122,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"11",123,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"12",124,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"13",125,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"14",126,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"15",127,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"16",128,NA,3000,2889,2505,2299,2375,NA,2389,2527,2782,NA,2714,2109,3101
"17",129,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"18",130,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"19",131,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"20",132,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"21",133,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"22",134,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"23",135,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"24",136,2547,2790,NA,NA,2367,2696,NA,NA,2830,2544,2567,2459,1818,2703
"25",137,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"26",138,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"27",139,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"28",140,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"29",141,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"30",142,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"31",143,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"32",144,2562,2727,1239,2699,NA,2574,2639,NA,NA,2940,NA,2316,2498,3230
"33",145,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"34",146,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"35",147,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"36",148,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"37",149,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"38",150,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"39",151,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"40",152,3318,2972,2854,NA,3392,3268,227,3071,2759,2663,NA,3592,2834,3633
"41",153,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"42",154,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"43",155,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"44",156,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"45",157,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"46",158,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"47",159,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"48",160,3634,NA,2786,3705,3485,3539,NA,3770,3540,3397,NA,NA,2838,4459
"49",161,NA,3609,NA,4836,4597,4641,3130,NA,NA,NA,3923,2842,3949,4466
