"","doy","2002_NDVI","2003_NDVI","2004_NDVI","2005_NDVI","2006_NDVI","2007_NDVI","2008_NDVI","2009_NDVI","2010_NDVI","2011_NDVI","2012_NDVI","2013_NDVI","2014_NDVI","2015_NDVI"
"66",178,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"67",179,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"68",180,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"69",181,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"70",182,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"71",183,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"72",184,NA,NA,6779,NA,8197,NA,NA,NA,8041,6488,8519,NA,NA,7731
"73",185,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"74",186,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"75",187,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"76",188,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"77",189,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"78",190,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"79",191,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"80",192,NA,NA,7431,NA,8515,8631,NA,NA,NA,NA,8446,NA,8196,8604
"81",193,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"82",194,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"83",195,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"84",196,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"85",197,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"86",198,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"87",199,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"88",200,8952,NA,NA,NA,9095,NA,8429,6297,NA,NA,8728,NA,8452,8405
"89",201,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"90",202,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"91",203,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"92",204,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"93",205,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"94",206,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"95",207,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"96",208,8748,8936,NA,9041,9195,9055,8989,NA,9161,NA,8895,6128,NA,9255
"97",209,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"98",210,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"99",211,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"100",212,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
