doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
2,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
3,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
4,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
5,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
6,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
7,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
8,NA,1860.225,2152.763,1999.271,NA,2124.219,NA,NA,1966.739,NA,NA,2414.519,NA,NA,NA,NA
9,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
10,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
11,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
12,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
13,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
14,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
15,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
16,NA,2048.8,2173.085,1947.275,NA,2279.712,2040.073,NA,NA,NA,NA,2218.228,NA,2125.95,2017.582,NA
17,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
18,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
19,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
20,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
21,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
22,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
23,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
24,2097.958,2158.948,NA,1873.328,NA,2206.442,NA,NA,1903.649,NA,NA,1950.622,1946.953,1972.53,2061.649,NA
25,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
26,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
27,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
28,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
29,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
30,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
31,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
32,NA,2063.734,NA,NA,NA,2236.354,NA,NA,1730.035,NA,NA,2135.185,2251.382,2177.76,2008.985,NA
33,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
34,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
35,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
36,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
37,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
38,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
39,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
40,NA,NA,NA,NA,2103.326,2333.847,NA,NA,1710.863,NA,NA,NA,2580.884,NA,NA,NA
41,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
42,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
43,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
44,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
45,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
46,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
47,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
48,NA,1982.111,1925.13,NA,2198.465,2093.907,NA,NA,2233.94,NA,2240.652,NA,2437.144,2171.591,NA,NA
49,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
50,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
51,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
52,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
53,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
54,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
55,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
56,NA,2013.522,2365.743,NA,2262.495,2061.842,2597.486,NA,2060.624,NA,2394.564,1939.573,2512.012,2151.803,NA,NA
57,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
58,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
59,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
60,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
61,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
62,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
63,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
64,NA,1936.67,2110.701,NA,2274.46,2122.04,NA,2294.2,NA,NA,2476.943,2244.517,NA,2084.306,1940.854,2045.347
