doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
49,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
50,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
51,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
52,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
53,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
54,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
55,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
56,NA,2148.312,2196.078,NA,2167.149,2366.387,2500.485,NA,2218.16,NA,2375.054,2090.026,2483.936,2267.608,NA,NA
57,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
58,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
59,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
60,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
61,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
62,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
63,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
64,NA,2025.22,2257.118,NA,2143.316,2256.317,NA,2408.317,NA,NA,2376.538,2148.128,NA,2246.3,1945.674,2383.055
65,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
66,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
67,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
68,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
69,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
70,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
71,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
