"","doy","2012","2013","2015","2016"
"1",1,2698.81990764495,NA,NA,NA
"2",2,2698.81990764495,NA,NA,NA
"3",3,2698.81990764495,NA,NA,NA
"4",4,2698.81990764495,NA,NA,NA
"5",5,2698.81990764495,NA,NA,NA
"6",6,2698.81990764495,NA,NA,NA
"7",7,2698.81990764495,NA,NA,NA
"8",8,2698.81990764495,NA,NA,NA
"9",9,2283.01886792453,NA,2614.70888530926,NA
"10",10,2283.01886792453,NA,2614.70888530926,NA
"11",11,2283.01886792453,NA,2614.70888530926,NA
"12",12,2283.01886792453,NA,2614.70888530926,NA
"13",13,2283.01886792453,NA,2614.70888530926,NA
"14",14,2283.01886792453,NA,2614.70888530926,NA
"15",15,2283.01886792453,NA,2614.70888530926,NA
"16",16,2283.01886792453,NA,2614.70888530926,NA
"17",17,2485.45303408146,2100.20520340066,2476.35925123711,NA
"18",18,2485.45303408146,2100.20520340066,2476.35925123711,NA
"19",19,2485.45303408146,2100.20520340066,2476.35925123711,NA
"20",20,2485.45303408146,2100.20520340066,2476.35925123711,NA
"21",21,2485.45303408146,2100.20520340066,2476.35925123711,NA
"22",22,2485.45303408146,2100.20520340066,2476.35925123711,NA
"23",23,2485.45303408146,2100.20520340066,2476.35925123711,NA
"24",24,2485.45303408146,2100.20520340066,2476.35925123711,NA
"25",25,2508.3269280041,2345.91520349101,2442.39376921298,NA
"26",26,2508.3269280041,2345.91520349101,2442.39376921298,NA
"27",27,2508.3269280041,2345.91520349101,2442.39376921298,NA
"28",28,2508.3269280041,2345.91520349101,2442.39376921298,NA
"29",29,2508.3269280041,2345.91520349101,2442.39376921298,NA
"30",30,2508.3269280041,2345.91520349101,2442.39376921298,NA
"31",31,2508.3269280041,2345.91520349101,2442.39376921298,NA
"32",32,2508.3269280041,2345.91520349101,2442.39376921298,NA
"33",33,NA,NA,NA,NA
"34",34,NA,NA,NA,NA
"35",35,NA,NA,NA,NA
"36",36,NA,NA,NA,NA
"37",37,NA,NA,NA,NA
"38",38,NA,NA,NA,NA
"39",39,NA,NA,NA,NA
"40",40,NA,NA,NA,NA
"41",41,NA,2464.06728733156,NA,NA
"42",42,NA,2464.06728733156,NA,NA
"43",43,NA,2464.06728733156,NA,NA
"44",44,NA,2464.06728733156,NA,NA
"45",45,NA,2464.06728733156,NA,NA
"46",46,NA,2464.06728733156,NA,NA
"47",47,NA,2464.06728733156,NA,NA
"48",48,NA,2464.06728733156,NA,NA
"49",49,2732.90003095017,2291.81866300446,NA,NA
"50",50,2732.90003095017,2291.81866300446,NA,NA
"51",51,2732.90003095017,2291.81866300446,NA,NA
"52",52,2732.90003095017,2291.81866300446,NA,NA
"53",53,2732.90003095017,2291.81866300446,NA,NA
"54",54,2732.90003095017,2291.81866300446,NA,NA
"55",55,2732.90003095017,2291.81866300446,NA,NA
"56",56,2732.90003095017,2291.81866300446,NA,NA
"57",57,2247.71910423003,NA,2144.74412196288,2228.68691602658
"58",58,2247.71910423003,NA,2144.74412196288,2228.68691602658
"59",59,2247.71910423003,NA,2144.74412196288,2228.68691602658
"60",60,2247.71910423003,NA,2144.74412196288,2228.68691602658
"61",61,2247.71910423003,NA,2144.74412196288,2228.68691602658
"62",62,2247.71910423003,NA,2144.74412196288,2228.68691602658
"63",63,2247.71910423003,NA,2144.74412196288,2228.68691602658
"64",64,2247.71910423003,NA,2144.74412196288,2228.68691602658
"65",65,2139.64559640307,NA,2263.40338527293,2255.5378495279
"66",66,2139.64559640307,NA,2263.40338527293,2255.5378495279
"67",67,2139.64559640307,NA,2263.40338527293,2255.5378495279
"68",68,2139.64559640307,NA,2263.40338527293,2255.5378495279
"69",69,2139.64559640307,NA,2263.40338527293,2255.5378495279
"70",70,2139.64559640307,NA,2263.40338527293,2255.5378495279
"71",71,2139.64559640307,NA,2263.40338527293,2255.5378495279
"72",72,2139.64559640307,NA,2263.40338527293,2255.5378495279
"73",73,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"74",74,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"75",75,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"76",76,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"77",77,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"78",78,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"79",79,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"80",80,2303.6093418259,2400.84467189442,2289.43834803305,2741.56976964542
"81",81,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"82",82,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"83",83,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"84",84,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"85",85,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"86",86,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"87",87,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"88",88,5642.06028957987,2414.48052336111,2521.01777772503,2801.36969539253
"89",89,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"90",90,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"91",91,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"92",92,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"93",93,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"94",94,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"95",95,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"96",96,6628.25437473325,2674.15272155019,2667.18848619252,2458.54628008312
"97",97,4508.19672131148,NA,2560.16361662193,5747.37868812485
"98",98,4508.19672131148,NA,2560.16361662193,5747.37868812485
"99",99,4508.19672131148,NA,2560.16361662193,5747.37868812485
"100",100,4508.19672131148,NA,2560.16361662193,5747.37868812485
"101",101,4508.19672131148,NA,2560.16361662193,5747.37868812485
"102",102,4508.19672131148,NA,2560.16361662193,5747.37868812485
"103",103,4508.19672131148,NA,2560.16361662193,5747.37868812485
"104",104,4508.19672131148,NA,2560.16361662193,5747.37868812485
"105",105,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"106",106,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"107",107,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"108",108,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"109",109,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"110",110,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"111",111,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"112",112,4845.60570071259,4135.76556186454,4041.19660270593,3088.23056808017
"113",113,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"114",114,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"115",115,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"116",116,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"117",117,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"118",118,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"119",119,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"120",120,5880.73394495413,2542.04738072586,3714.2557939905,6163.41134132222
"121",121,7410,3923.1160050536,NA,2578.19309016828
"122",122,7410,3923.1160050536,NA,2578.19309016828
"123",123,7410,3923.1160050536,NA,2578.19309016828
"124",124,7410,3923.1160050536,NA,2578.19309016828
"125",125,7410,3923.1160050536,NA,2578.19309016828
"126",126,7410,3923.1160050536,NA,2578.19309016828
"127",127,7410,3923.1160050536,NA,2578.19309016828
"128",128,7410,3923.1160050536,NA,2578.19309016828
"129",129,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"130",130,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"131",131,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"132",132,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"133",133,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"134",134,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"135",135,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"136",136,6925.73402417962,3993.76596270563,4924.38267157821,3313.85439493548
"137",137,4842.31943031536,NA,3299.1683156573,NA
"138",138,4842.31943031536,NA,3299.1683156573,NA
"139",139,4842.31943031536,NA,3299.1683156573,NA
"140",140,4842.31943031536,NA,3299.1683156573,NA
"141",141,4842.31943031536,NA,3299.1683156573,NA
"142",142,4842.31943031536,NA,3299.1683156573,NA
"143",143,4842.31943031536,NA,3299.1683156573,NA
"144",144,4842.31943031536,NA,3299.1683156573,NA
"145",145,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"146",146,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"147",147,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"148",148,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"149",149,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"150",150,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"151",151,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"152",152,7523.17880794702,5814.69115191986,4933.29194793767,2966.53157044899
"153",153,NA,5286.40566289074,4785.93260997527,3849.40022204241
"154",154,NA,5286.40566289074,4785.93260997527,3849.40022204241
"155",155,NA,5286.40566289074,4785.93260997527,3849.40022204241
"156",156,NA,5286.40566289074,4785.93260997527,3849.40022204241
"157",157,NA,5286.40566289074,4785.93260997527,3849.40022204241
"158",158,NA,5286.40566289074,4785.93260997527,3849.40022204241
"159",159,NA,5286.40566289074,4785.93260997527,3849.40022204241
"160",160,NA,5286.40566289074,4785.93260997527,3849.40022204241
"161",161,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"162",162,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"163",163,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"164",164,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"165",165,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"166",166,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"167",167,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"168",168,7877.80040733198,5197.12655922849,4793.23644176678,3433.04403404504
"169",169,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"170",170,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"171",171,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"172",172,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"173",173,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"174",174,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"175",175,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"176",176,8748.80428544098,6686.88027951278,5913.20879661003,3789.47942540485
"177",177,6840.83794847098,7025.3018847819,6813.49378132154,5521.68523430504
