"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"41",41,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"42",42,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"43",43,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"44",44,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"45",45,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"46",46,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"47",47,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"48",48,NA,2397.96556390276,2191.18151290833,NA,2262.8595974821,NA,NA,NA,2291.46678805281,NA,2389.23229331394,NA,2129.55556015696,2289.91090777751,NA,NA
"49",49,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"50",50,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"51",51,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"52",52,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"53",53,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"54",54,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"55",55,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
"56",56,NA,2536.92067266045,NA,NA,2187.47786426837,NA,2343.90046709625,NA,2101.23605963131,NA,2158.05791980404,2178.52535601118,2125.76426515676,2157.14982918497,NA,NA
