"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"52",52,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"53",53,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"54",54,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"55",55,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"56",56,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"57",57,NA,1856.29246003171,2186.91858402127,NA,2359.94031172567,2382.09511177015,NA,2321.00476417937,NA,NA,2273.83153263018,2443.88428450041,NA,2128.40030801447,1934.30656934307,2256.95384744944
"58",58,NA,1856.29246003171,2186.91858402127,NA,2359.94031172567,2382.09511177015,NA,2321.00476417937,NA,NA,2273.83153263018,2443.88428450041,NA,2128.40030801447,1934.30656934307,2256.95384744944
"59",59,NA,1856.29246003171,2186.91858402127,NA,2359.94031172567,2382.09511177015,NA,2321.00476417937,NA,NA,2273.83153263018,2443.88428450041,NA,2128.40030801447,1934.30656934307,2256.95384744944
"60",60,NA,1856.29246003171,2186.91858402127,NA,2359.94031172567,2382.09511177015,NA,2321.00476417937,NA,NA,2273.83153263018,2443.88428450041,NA,2128.40030801447,1934.30656934307,2256.95384744944
"61",61,NA,1856.29246003171,2186.91858402127,NA,2359.94031172567,2382.09511177015,NA,2321.00476417937,NA,NA,2273.83153263018,2443.88428450041,NA,2128.40030801447,1934.30656934307,2256.95384744944
