"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",1,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,2121.55907905183,2463.40464735389,2020.98034224504,NA,1945.3042072056,NA,NA,2229.28617854073,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,2191.04311499283,2473.31033916402,2051.48421561023,NA,NA,2000.95969289827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"18",18,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"19",19,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"20",20,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"21",21,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"22",22,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"23",23,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"24",24,2366.14620387405,2165.50749287818,NA,1987.98343823986,NA,2191.67914171657,NA,NA,2193.66885632619,NA,NA,2023.22161499926,2187.40293164011,2267.08006149431,2271.71357965162,NA
"25",25,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"26",26,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"27",27,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"28",28,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"29",29,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"30",30,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"31",31,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"32",32,NA,2130.16183689458,NA,NA,NA,2073.99401871057,NA,NA,2203.04568527919,NA,NA,NA,NA,2211.18315489079,2188.89883616831,NA
"33",33,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"34",34,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"35",35,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"36",36,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"37",37,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"38",38,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"39",39,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"40",40,NA,NA,NA,NA,2176.25553837668,2140.2989084433,NA,NA,2113.00942418159,NA,NA,NA,1891.78742122893,NA,NA,NA
"41",41,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"42",42,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"43",43,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"44",44,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"45",45,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"46",46,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"47",47,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"48",48,NA,2310.53557016258,2271.65725047083,NA,2216.77001113281,2044.49502383125,NA,NA,2272.90885067483,NA,2375.64293028093,NA,2508.88322645684,2269.33175294136,NA,NA
"49",49,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"50",50,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"51",51,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"52",52,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"53",53,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"54",54,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"55",55,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"56",56,NA,2203.50756337465,NA,NA,2212.98225931576,2342.15885947047,2205.97088043708,NA,2273.6915814962,NA,2417.26850226874,1949.05754356782,2461.72895838466,2228.34836347547,NA,NA
"57",57,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"58",58,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"59",59,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"60",60,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"61",61,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"62",62,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"63",63,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"64",64,NA,2145.25342677555,2563.43895972731,NA,2146.65193369766,2116.33044346744,NA,2426.64846826319,NA,NA,2335.64622774672,2012.10754449222,NA,2172.4102091005,1874.73550571308,2093.60826434129
"65",65,2587.00818478449,NA,NA,1971.51274464328,2172.09194416564,2137.09826074871,2061.36324417604,2327.80355452425,2395.83507368558,NA,2405.33748068975,NA,NA,NA,2193.79751417883,2141.87564787669
"66",66,2587.00818478449,NA,NA,1971.51274464328,2172.09194416564,2137.09826074871,2061.36324417604,2327.80355452425,2395.83507368558,NA,2405.33748068975,NA,NA,NA,2193.79751417883,2141.87564787669
