"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",1,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"2",2,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"3",3,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"4",4,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"5",5,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"6",6,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"7",7,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"8",8,NA,2149.70846755064,2442.27358603575,2423.78189301437,NA,2001.45214111977,NA,NA,1960.18554027907,NA,NA,2463.24583924014,NA,NA,NA,NA
"9",9,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"10",10,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"11",11,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"12",12,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"13",13,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"14",14,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"15",15,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"16",16,NA,2342.36916249854,2208.99087354639,2091.07888549871,NA,2158.11761132625,1980.59965402769,NA,NA,NA,NA,2233.12484878792,NA,2440.97292896397,2065.37282427047,NA
"17",17,2010.37853402804,2085.87932498958,NA,2233.10704228643,NA,2186.20835669885,NA,NA,1927.28488562314,NA,NA,2034.50128861094,1834.79311810102,2551.27467893425,2078.59585338229,NA
"18",18,2010.37853402804,2085.87932498958,NA,2233.10704228643,NA,2186.20835669885,NA,NA,1927.28488562314,NA,NA,2034.50128861094,1834.79311810102,2551.27467893425,2078.59585338229,NA
"19",19,2010.37853402804,2085.87932498958,NA,2233.10704228643,NA,2186.20835669885,NA,NA,1927.28488562314,NA,NA,2034.50128861094,1834.79311810102,2551.27467893425,2078.59585338229,NA
