"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",1,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"2",2,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"3",3,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"4",4,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"5",5,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"6",6,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"7",7,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"8",8,NA,2222.64916697349,2464.18517688585,2363.71200424876,NA,2435.89388529056,NA,NA,2294.07625713715,NA,NA,2432.67363034459,NA,NA,NA,NA
"9",9,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"10",10,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"11",11,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"12",12,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"13",13,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"14",14,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"15",15,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"16",16,NA,2275.7077436754,2315.0436907859,2067.36032239971,NA,2496.3687929263,2281.53955449614,NA,NA,NA,NA,2140.67658006631,NA,2401.54920730644,2389.79639293221,NA
"17",17,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"18",18,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"19",19,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"20",20,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"21",21,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"22",22,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"23",23,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"24",24,2294.95150813235,2222.17551270718,NA,2181.90281965858,NA,2261.88963063286,NA,NA,2243.74556881734,NA,NA,2069.07602612394,1936.15737756878,2017.20766282738,2160.02919782672,NA
"25",25,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"26",26,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"27",27,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"28",28,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"29",29,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"30",30,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"31",31,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"32",32,NA,2058.00733986426,NA,NA,NA,2351.89927568465,NA,NA,1875.43579597003,NA,NA,2260.19868388358,2124.50202098094,2357.52563529551,2328.63395787437,NA
"33",33,NA,NA,NA,NA,1819.76342430371,2502.15240928673,NA,NA,1997.37541077736,NA,NA,NA,2388.19335391687,NA,NA,NA
"34",34,NA,NA,NA,NA,1819.76342430371,2502.15240928673,NA,NA,1997.37541077736,NA,NA,NA,2388.19335391687,NA,NA,NA
"35",35,NA,NA,NA,NA,1819.76342430371,2502.15240928673,NA,NA,1997.37541077736,NA,NA,NA,2388.19335391687,NA,NA,NA
