,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,178,258,31113
5,175,261,31185
6,197,263,31005
7,182,260,31071
8,185,264,31101
9,176,262,31151
10,178,262,31059
11,178,262,31119
12,181,259,31183
13,195,268,31009
14,0,0,31091
15,180,259,31115
16,182,264,31003
17,180,262,31027
18,181,263,31029
19,181,262,31035
20,173,264,31039
21,183,267,31049
22,180,264,31051
23,182,261,31057
24,192,259,31063
25,170,267,31067
26,181,261,31077
27,177,261,31093
28,0,0,31123
29,191,270,31133
30,180,263,31139
31,181,257,31149
32,182,259,31163
33,178,267,31169
34,184,263,31179
35,183,256,31061
36,198,250,31065
37,179,257,31069
38,178,262,31079
39,182,260,31085
40,177,262,31001
41,180,264,31011
42,179,249,31015
43,178,257,31089
44,176,267,31095
45,178,257,31099
46,0,0,31105
47,197,260,31117
48,184,263,31125
49,182,268,31127
50,188,265,31135
51,178,257,31137
52,0,0,31157
53,0,0,31161
54,173,262,31167
55,0,0,31171
56,168,265,31177
57,0,0,31013
58,171,266,31025
59,181,265,31031
60,176,261,31037
61,175,259,31047
62,173,262,31053
63,182,263,31087
64,187,262,31103
65,180,259,31111
66,180,260,31121
67,189,263,31129
68,174,260,31143
69,190,258,31145
70,171,263,31155
71,173,258,31159
72,0,0,31165
73,177,266,31173
74,182,261,31017
75,180,259,31041
76,182,261,31107
77,167,269,31021
78,177,261,31081
79,168,264,31109
80,174,263,31141
81,196,257,31181
82,181,270,31033
83,171,260,31055
84,176,270,31097
85,171,265,31153
86,178,266,31043
87,174,263,31131
88,188,271,31147
89,176,260,31023
90,183,253,31083
91,177,256,31073
92,179,257,31175
93,178,257,31019
