,green,sen,GEOIDS
1,181,269,31007
2,177,262,31045
3,0,0,31075
4,168,266,31113
5,169,274,31185
6,174,263,31005
7,176,272,31071
8,171,272,31101
9,168,267,31151
10,168,273,31059
11,170,271,31119
12,174,259,31183
13,173,267,31009
14,0,0,31091
15,174,275,31115
16,172,273,31003
17,173,271,31027
18,167,263,31029
19,168,270,31035
20,170,273,31039
21,174,275,31049
22,173,273,31051
23,170,250,31057
24,166,237,31063
25,166,264,31067
26,172,272,31077
27,171,267,31093
28,175,262,31123
29,167,270,31133
30,172,272,31139
31,171,258,31149
32,170,259,31163
33,166,272,31169
34,172,272,31179
35,169,251,31061
36,165,236,31065
37,172,270,31069
38,170,271,31079
39,169,245,31085
40,168,270,31001
41,170,273,31011
42,174,246,31015
43,172,256,31089
44,168,264,31095
45,168,258,31099
46,182,267,31105
47,177,262,31117
48,170,271,31125
49,169,267,31127
50,173,239,31135
51,168,259,31137
52,180,262,31157
53,176,253,31161
54,169,271,31167
55,186,272,31171
56,167,268,31177
57,174,256,31013
58,167,243,31025
59,174,264,31031
60,171,269,31037
61,165,261,31047
62,168,268,31053
63,169,236,31087
64,172,267,31103
65,168,265,31111
66,170,267,31121
67,164,268,31129
68,170,268,31143
69,169,237,31145
70,168,265,31155
71,169,250,31159
72,179,259,31165
73,172,275,31173
74,170,266,31017
75,170,263,31041
76,175,276,31107
77,166,273,31021
78,168,274,31081
79,166,250,31109
80,170,273,31141
81,166,254,31181
82,174,269,31033
83,167,261,31055
84,169,270,31097
85,166,251,31153
86,172,273,31043
87,168,248,31131
88,168,270,31147
89,170,266,31023
90,169,246,31083
91,165,257,31073
92,173,253,31175
93,170,259,31019
