,green,sen,GEOIDS
1,179,261,31007
2,176,262,31045
3,0,0,31075
4,173,267,31113
5,167,267,31185
6,181,270,31005
7,168,269,31071
8,175,270,31101
9,160,258,31151
10,159,262,31059
11,167,265,31119
12,168,267,31183
13,176,268,31009
14,0,0,31091
15,170,266,31115
16,167,268,31003
17,167,266,31027
18,173,270,31029
19,161,264,31035
20,168,269,31039
21,178,271,31049
22,169,267,31051
23,175,268,31057
24,170,266,31063
25,159,252,31067
26,169,270,31077
27,166,270,31093
28,177,267,31123
29,155,251,31133
30,168,265,31139
31,171,267,31149
32,166,267,31163
33,158,261,31169
34,168,267,31179
35,166,263,31061
36,170,261,31065
37,177,267,31069
38,163,264,31079
39,173,264,31085
40,163,262,31001
41,167,269,31011
42,169,269,31015
43,170,271,31089
44,155,255,31095
45,165,262,31099
46,180,258,31105
47,185,266,31117
48,168,268,31125
49,155,255,31127
50,175,269,31135
51,166,260,31137
52,179,267,31157
53,181,262,31161
54,168,267,31167
55,177,272,31171
56,167,262,31177
57,178,263,31013
58,161,259,31025
59,180,266,31031
60,164,264,31037
61,166,261,31047
62,164,263,31053
63,175,268,31087
64,178,269,31103
65,172,266,31111
66,168,263,31121
67,161,262,31129
68,165,262,31143
69,172,263,31145
70,162,263,31155
71,163,260,31159
72,180,266,31165
73,166,265,31173
74,171,271,31017
75,169,265,31041
76,168,267,31107
77,163,263,31021
78,166,269,31081
79,161,261,31109
80,164,266,31141
81,165,261,31181
82,175,266,31033
83,161,259,31055
84,158,249,31097
85,161,260,31153
86,165,263,31043
87,159,256,31131
88,156,253,31147
89,167,263,31023
90,168,260,31083
91,168,262,31073
92,165,271,31175
93,164,268,31019
