,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,187,264,31113
5,179,259,31185
6,0,0,31005
7,185,264,31071
8,189,264,31101
9,174,257,31151
10,178,258,31059
11,186,260,31119
12,184,260,31183
13,0,0,31009
14,0,0,31091
15,185,267,31115
16,184,262,31003
17,185,261,31027
18,194,267,31029
19,177,259,31035
20,179,258,31039
21,198,267,31049
22,185,261,31051
23,190,264,31057
24,187,264,31063
25,171,260,31067
26,184,262,31077
27,183,261,31093
28,0,0,31123
29,166,258,31133
30,186,261,31139
31,189,263,31149
32,184,261,31163
33,178,258,31169
34,184,257,31179
35,188,262,31061
36,187,261,31065
37,156,263,31069
38,180,261,31079
39,194,268,31085
40,180,260,31001
41,183,261,31011
42,183,260,31015
43,186,261,31089
44,176,258,31095
45,182,260,31099
46,0,0,31105
47,192,267,31117
48,184,260,31125
49,166,260,31127
50,192,266,31135
51,184,263,31137
52,0,0,31157
53,0,0,31161
54,184,258,31167
55,0,0,31171
56,180,261,31177
57,0,0,31013
58,174,264,31025
59,193,269,31031
60,182,259,31037
61,185,267,31047
62,181,259,31053
63,189,264,31087
64,190,261,31103
65,188,265,31111
66,182,261,31121
67,183,259,31129
68,182,260,31143
69,187,262,31145
70,181,260,31155
71,177,257,31159
72,0,0,31165
73,182,260,31173
74,191,264,31017
75,187,266,31041
76,187,261,31107
77,185,262,31021
78,178,259,31081
79,176,263,31109
80,183,259,31141
81,184,259,31181
82,0,0,31033
83,172,261,31055
84,169,263,31097
85,176,262,31153
86,184,261,31043
87,171,262,31131
88,164,261,31147
89,182,260,31023
90,186,259,31083
91,186,265,31073
92,183,263,31175
93,183,261,31019
