,green,sen,GEOIDS
1,177,256,31007
2,175,261,31045
3,0,0,31075
4,166,264,31113
5,160,248,31185
6,169,257,31005
7,165,271,31071
8,164,266,31101
9,158,250,31151
10,156,247,31059
11,165,256,31119
12,163,264,31183
13,167,256,31009
14,0,0,31091
15,165,271,31115
16,162,257,31003
17,163,257,31027
18,165,263,31029
19,159,247,31035
20,163,253,31039
21,171,262,31049
22,164,257,31051
23,165,265,31057
24,163,261,31063
25,157,256,31067
26,165,254,31077
27,163,248,31093
28,170,259,31123
29,153,256,31133
30,163,256,31139
31,162,256,31149
32,162,250,31163
33,157,250,31169
34,165,257,31179
35,161,252,31061
36,163,251,31065
37,168,260,31069
38,161,248,31079
39,166,265,31085
40,160,248,31001
41,165,254,31011
42,163,263,31015
43,159,261,31089
44,157,250,31095
45,160,250,31099
46,177,263,31105
47,167,256,31117
48,166,248,31125
49,155,242,31127
50,166,261,31135
51,159,252,31137
52,179,259,31157
53,176,258,31161
54,166,256,31167
55,178,259,31171
56,162,255,31177
57,174,257,31013
58,159,254,31025
59,168,257,31031
60,164,251,31037
61,161,257,31047
62,161,251,31053
63,169,252,31087
64,164,261,31103
65,162,261,31111
66,164,246,31121
67,159,252,31129
68,163,247,31143
69,163,258,31145
70,160,252,31155
71,160,251,31159
72,179,256,31165
73,164,255,31173
74,163,261,31017
75,164,264,31041
76,164,262,31107
77,161,254,31021
78,161,247,31081
79,159,256,31109
80,163,250,31141
81,160,252,31181
82,173,263,31033
83,159,255,31055
84,156,258,31097
85,163,253,31153
86,161,256,31043
87,158,253,31131
88,155,230,31147
89,161,250,31023
90,160,253,31083
91,160,259,31073
92,164,262,31175
93,161,252,31019
