,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,184,264,31113
5,175,261,31185
6,0,0,31005
7,191,265,31071
8,190,264,31101
9,168,260,31151
10,164,260,31059
11,179,263,31119
12,187,263,31183
13,0,0,31009
14,0,0,31091
15,185,268,31115
16,190,265,31003
17,175,265,31027
18,187,264,31029
19,169,259,31035
20,170,269,31039
21,0,0,31049
22,176,265,31051
23,184,264,31057
24,181,260,31063
25,167,260,31067
26,185,264,31077
27,177,266,31093
28,0,0,31123
29,170,260,31133
30,185,263,31139
31,186,263,31149
32,169,263,31163
33,161,260,31169
34,185,265,31179
35,180,260,31061
36,190,263,31065
37,185,265,31069
38,172,261,31079
39,186,263,31085
40,168,260,31001
41,178,264,31011
42,173,264,31015
43,186,266,31089
44,160,260,31095
45,173,259,31099
46,0,0,31105
47,193,269,31117
48,176,265,31125
49,164,261,31127
50,189,264,31135
51,179,259,31137
52,0,0,31157
53,184,271,31161
54,176,266,31167
55,0,0,31171
56,174,267,31177
57,0,0,31013
58,168,266,31025
59,192,270,31031
60,169,264,31037
61,177,261,31047
62,169,265,31053
63,186,263,31087
64,193,268,31103
65,185,263,31111
66,179,262,31121
67,167,260,31129
68,172,260,31143
69,186,263,31145
70,166,266,31155
71,169,260,31159
72,0,0,31165
73,171,265,31173
74,184,265,31017
75,185,263,31041
76,177,263,31107
77,169,268,31021
78,178,262,31081
79,165,267,31109
80,169,263,31141
81,171,260,31181
82,0,0,31033
83,167,262,31055
84,168,260,31097
85,168,262,31153
86,175,264,31043
87,166,263,31131
88,165,263,31147
89,174,263,31023
90,188,260,31083
91,185,261,31073
92,172,263,31175
93,169,260,31019
