,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,183,255,31113
5,176,255,31185
6,0,0,31005
7,184,257,31071
8,184,256,31101
9,166,258,31151
10,180,255,31059
11,184,255,31119
12,181,252,31183
13,0,0,31009
14,0,0,31091
15,181,252,31115
16,183,256,31003
17,181,253,31027
18,182,257,31029
19,180,255,31035
20,183,255,31039
21,182,254,31049
22,181,253,31051
23,177,253,31057
24,183,253,31063
25,184,264,31067
26,181,255,31077
27,180,255,31093
28,0,0,31123
29,190,265,31133
30,181,257,31139
31,185,254,31149
32,177,254,31163
33,180,258,31169
34,182,252,31179
35,184,256,31061
36,182,252,31065
37,174,254,31069
38,182,256,31079
39,190,259,31085
40,184,255,31001
41,184,256,31011
42,183,255,31015
43,179,250,31089
44,178,263,31095
45,185,256,31099
46,0,0,31105
47,184,257,31117
48,184,255,31125
49,162,263,31127
50,186,256,31135
51,182,254,31137
52,0,0,31157
53,0,0,31161
54,184,255,31167
55,0,0,31171
56,183,260,31177
57,0,0,31013
58,170,263,31025
59,181,255,31031
60,183,256,31037
61,178,254,31047
62,187,258,31053
63,181,253,31087
64,178,254,31103
65,183,254,31111
66,180,256,31121
67,179,253,31129
68,182,257,31143
69,181,251,31145
70,184,258,31155
71,172,256,31159
72,0,0,31165
73,181,257,31173
74,180,254,31017
75,178,255,31041
76,182,253,31107
77,186,259,31021
78,176,255,31081
79,170,262,31109
80,184,255,31141
81,182,254,31181
82,0,0,31033
83,179,260,31055
84,169,264,31097
85,176,262,31153
86,182,255,31043
87,168,262,31131
88,165,264,31147
89,183,258,31023
90,184,253,31083
91,182,253,31073
92,177,254,31175
93,178,253,31019
