,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,181,259,31113
5,162,254,31185
6,0,0,31005
7,186,263,31071
8,182,258,31101
9,157,254,31151
10,161,253,31059
11,176,254,31119
12,182,257,31183
13,195,268,31009
14,0,0,31091
15,190,259,31115
16,180,255,31003
17,175,254,31027
18,183,254,31029
19,173,254,31035
20,174,255,31039
21,0,0,31049
22,170,258,31051
23,186,255,31057
24,179,257,31063
25,162,255,31067
26,179,256,31077
27,172,254,31093
28,0,0,31123
29,187,254,31133
30,179,254,31139
31,186,258,31149
32,182,257,31163
33,165,253,31169
34,177,254,31179
35,177,251,31061
36,180,252,31065
37,0,0,31069
38,188,258,31079
39,186,256,31085
40,175,252,31001
41,175,255,31011
42,178,253,31015
43,181,255,31089
44,173,254,31095
45,174,251,31099
46,0,0,31105
47,0,0,31117
48,174,253,31125
49,156,256,31127
50,192,263,31135
51,175,252,31137
52,0,0,31157
53,0,0,31161
54,175,251,31167
55,0,0,31171
56,168,255,31177
57,0,0,31013
58,158,255,31025
59,187,257,31031
60,170,251,31037
61,173,257,31047
62,161,254,31053
63,183,257,31087
64,190,262,31103
65,187,259,31111
66,167,251,31121
67,176,254,31129
68,163,252,31143
69,177,253,31145
70,162,255,31155
71,160,253,31159
72,0,0,31165
73,181,256,31173
74,180,259,31017
75,187,259,31041
76,181,256,31107
77,176,255,31021
78,165,252,31081
79,158,255,31109
80,170,254,31141
81,177,251,31181
82,0,0,31033
83,161,254,31055
84,177,254,31097
85,164,253,31153
86,172,257,31043
87,157,255,31131
88,156,257,31147
89,165,254,31023
90,179,252,31083
91,181,252,31073
92,181,259,31175
93,182,255,31019
