,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,183,260,31113
5,176,256,31185
6,193,266,31005
7,182,257,31071
8,189,263,31101
9,170,260,31151
10,177,254,31059
11,174,256,31119
12,174,255,31183
13,192,268,31009
14,204,239,31091
15,178,260,31115
16,175,255,31003
17,173,252,31027
18,188,259,31029
19,176,255,31035
20,173,260,31039
21,187,268,31049
22,174,256,31051
23,189,258,31057
24,185,257,31063
25,169,269,31067
26,180,259,31077
27,167,253,31093
28,0,0,31123
29,205,271,31133
30,174,254,31139
31,177,255,31149
32,172,254,31163
33,178,255,31169
34,175,256,31179
35,181,253,31061
36,183,254,31065
37,190,275,31069
38,174,254,31079
39,189,260,31085
40,175,256,31001
41,172,257,31011
42,174,249,31015
43,174,253,31089
44,179,260,31095
45,177,253,31099
46,0,0,31105
47,191,258,31117
48,173,256,31125
49,170,271,31127
50,192,263,31135
51,174,253,31137
52,0,0,31157
53,0,0,31161
54,178,256,31167
55,0,0,31171
56,181,263,31177
57,0,0,31013
58,176,270,31025
59,180,260,31031
60,176,261,31037
61,175,256,31047
62,174,264,31053
63,184,256,31087
64,177,257,31103
65,187,260,31111
66,173,255,31121
67,181,255,31129
68,176,255,31143
69,184,255,31145
70,174,267,31155
71,175,259,31159
72,0,0,31165
73,172,259,31173
74,181,259,31017
75,182,258,31041
76,174,253,31107
77,174,263,31021
78,173,254,31081
79,195,271,31109
80,173,256,31141
81,177,253,31181
82,0,0,31033
83,172,262,31055
84,166,272,31097
85,174,267,31153
86,173,260,31043
87,171,273,31131
88,172,270,31147
89,179,260,31023
90,179,251,31083
91,180,257,31073
92,173,253,31175
93,166,253,31019
