,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,181,257,31113
5,166,253,31185
6,193,260,31005
7,190,258,31071
8,188,255,31101
9,163,254,31151
10,160,250,31059
11,181,255,31119
12,186,252,31183
13,0,0,31009
14,0,0,31091
15,186,262,31115
16,185,254,31003
17,166,254,31027
18,190,258,31029
19,169,250,31035
20,181,257,31039
21,0,0,31049
22,187,256,31051
23,187,255,31057
24,182,256,31063
25,172,257,31067
26,188,260,31077
27,181,255,31093
28,0,0,31123
29,183,257,31133
30,186,253,31139
31,180,252,31149
32,183,258,31163
33,168,251,31169
34,186,256,31179
35,179,253,31061
36,180,254,31065
37,191,257,31069
38,171,253,31079
39,184,253,31085
40,175,250,31001
41,183,257,31011
42,173,253,31015
43,176,253,31089
44,171,257,31095
45,179,254,31099
46,0,0,31105
47,195,254,31117
48,181,255,31125
49,187,258,31127
50,190,256,31135
51,178,253,31137
52,0,0,31157
53,0,0,31161
54,184,255,31167
55,0,0,31171
56,195,258,31177
57,0,0,31013
58,194,258,31025
59,188,258,31031
60,186,256,31037
61,179,257,31047
62,164,258,31053
63,187,256,31087
64,185,253,31103
65,187,256,31111
66,176,251,31121
67,168,250,31129
68,172,252,31143
69,182,255,31145
70,165,258,31155
71,170,253,31159
72,0,0,31165
73,179,257,31173
74,181,255,31017
75,186,260,31041
76,191,255,31107
77,182,258,31021
78,173,252,31081
79,194,257,31109
80,179,253,31141
81,177,251,31181
82,0,0,31033
83,163,256,31055
84,164,256,31097
85,193,257,31153
86,164,257,31043
87,161,257,31131
88,189,260,31147
89,167,256,31023
90,184,253,31083
91,177,254,31073
92,187,262,31175
93,180,255,31019
