,green,sen,GEOIDS
1,178,250,31007
2,175,247,31045
3,0,0,31075
4,164,248,31113
5,155,246,31185
6,169,246,31005
7,163,248,31071
8,167,248,31101
9,155,243,31151
10,154,244,31059
11,160,242,31119
12,164,247,31183
13,167,255,31009
14,0,0,31091
15,167,248,31115
16,158,246,31003
17,158,242,31027
18,164,247,31029
19,157,245,31035
20,156,241,31039
21,174,246,31049
22,159,241,31051
23,165,243,31057
24,163,236,31063
25,158,244,31067
26,162,249,31077
27,159,245,31093
28,175,252,31123
29,160,213,31133
30,157,244,31139
31,164,244,31149
32,158,247,31163
33,155,246,31169
34,158,241,31179
35,159,249,31061
36,160,234,31065
37,170,247,31069
38,156,245,31079
39,165,244,31085
40,156,245,31001
41,160,245,31011
42,164,239,31015
43,159,248,31089
44,156,245,31095
45,156,247,31099
46,180,254,31105
47,171,251,31117
48,159,242,31125
49,156,224,31127
50,170,244,31135
51,156,245,31137
52,180,267,31157
53,173,249,31161
54,157,241,31167
55,171,259,31171
56,157,243,31177
57,174,253,31013
58,157,232,31025
59,169,253,31031
60,159,242,31037
61,159,247,31047
62,155,246,31053
63,167,237,31087
64,166,248,31103
65,162,248,31111
66,156,244,31121
67,160,243,31129
68,157,242,31143
69,162,236,31145
70,156,241,31155
71,157,241,31159
72,178,260,31165
73,158,241,31173
74,166,248,31017
75,162,249,31041
76,158,241,31107
77,154,242,31021
78,155,247,31081
79,156,239,31109
80,156,242,31141
81,161,241,31181
82,177,248,31033
83,153,223,31055
84,156,229,31097
85,156,234,31153
86,155,241,31043
87,157,229,31131
88,156,225,31147
89,157,242,31023
90,156,242,31083
91,159,242,31073
92,161,257,31175
93,159,248,31019
