,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,182,253,31113
5,172,251,31185
6,177,249,31005
7,167,266,31071
8,176,254,31101
9,164,256,31151
10,172,252,31059
11,174,255,31119
12,181,257,31183
13,197,256,31009
14,0,0,31091
15,167,263,31115
16,172,255,31003
17,168,256,31027
18,178,253,31029
19,170,251,31035
20,169,255,31039
21,176,253,31049
22,169,256,31051
23,178,264,31057
24,186,257,31063
25,186,259,31067
26,173,258,31077
27,168,254,31093
28,180,267,31123
29,187,258,31133
30,171,254,31139
31,177,254,31149
32,170,254,31163
33,171,255,31169
34,170,256,31179
35,178,255,31061
36,174,253,31065
37,179,261,31069
38,169,253,31079
39,177,255,31085
40,170,251,31001
41,174,255,31011
42,166,257,31015
43,167,255,31089
44,171,258,31095
45,175,252,31099
46,174,244,31105
47,191,249,31117
48,173,251,31125
49,164,258,31127
50,180,257,31135
51,172,254,31137
52,0,0,31157
53,181,255,31161
54,172,256,31167
55,184,227,31171
56,173,258,31177
57,172,243,31013
58,166,260,31025
59,168,254,31031
60,173,252,31037
61,168,257,31047
62,171,255,31053
63,175,251,31087
64,169,252,31103
65,179,257,31111
66,171,251,31121
67,175,254,31129
68,172,250,31143
69,192,257,31145
70,178,256,31155
71,167,253,31159
72,0,0,31165
73,171,256,31173
74,171,256,31017
75,174,258,31041
76,168,258,31107
77,169,257,31021
78,169,250,31081
79,163,260,31109
80,171,251,31141
81,171,254,31181
82,177,266,31033
83,171,258,31055
84,161,259,31097
85,177,259,31153
86,170,257,31043
87,163,259,31131
88,159,262,31147
89,173,252,31023
90,177,252,31083
91,171,255,31073
92,174,255,31175
93,171,254,31019
