,green,sen,GEOIDS
1,182,264,31007
2,183,261,31045
3,0,0,31075
4,178,282,31113
5,166,268,31185
6,180,273,31005
7,180,279,31071
8,176,280,31101
9,162,255,31151
10,161,261,31059
11,174,276,31119
12,183,277,31183
13,186,271,31009
14,0,0,31091
15,183,281,31115
16,174,275,31003
17,173,271,31027
18,177,278,31029
19,166,266,31035
20,170,255,31039
21,181,280,31049
22,172,264,31051
23,176,274,31057
24,173,280,31063
25,164,250,31067
26,176,275,31077
27,175,272,31093
28,184,274,31123
29,164,246,31133
30,174,274,31139
31,180,268,31149
32,175,275,31163
33,164,259,31169
34,171,260,31179
35,172,271,31061
36,174,271,31065
37,180,276,31069
38,174,272,31079
39,177,284,31085
40,171,268,31001
41,175,274,31011
42,177,243,31015
43,174,277,31089
44,164,254,31095
45,174,270,31099
46,182,275,31105
47,180,278,31117
48,173,271,31125
49,163,254,31127
50,177,279,31135
51,171,269,31137
52,184,265,31157
53,184,277,31161
54,173,249,31167
55,186,270,31171
56,168,256,31177
57,181,255,31013
58,169,251,31025
59,181,280,31031
60,172,276,31037
61,172,276,31047
62,169,257,31053
63,177,281,31087
64,181,274,31103
65,174,279,31111
66,176,269,31121
67,166,264,31129
68,171,264,31143
69,177,269,31145
70,171,258,31155
71,168,260,31159
72,182,264,31165
73,170,262,31173
74,184,281,31017
75,176,281,31041
76,175,278,31107
77,169,259,31021
78,170,271,31081
79,170,251,31109
80,171,274,31141
81,171,268,31181
82,182,273,31033
83,164,259,31055
84,167,251,31097
85,168,252,31153
86,167,264,31043
87,170,249,31131
88,161,250,31147
89,172,262,31023
90,168,268,31083
91,174,271,31073
92,175,276,31175
93,174,273,31019
