,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,192,266,31113
5,186,260,31185
6,192,268,31005
7,193,268,31071
8,191,264,31101
9,185,257,31151
10,186,259,31059
11,193,264,31119
12,192,265,31183
13,198,281,31009
14,0,0,31091
15,191,267,31115
16,189,264,31003
17,181,259,31027
18,197,270,31029
19,185,260,31035
20,180,256,31039
21,0,0,31049
22,186,259,31051
23,194,266,31057
24,196,265,31063
25,186,260,31067
26,193,266,31077
27,191,263,31093
28,0,0,31123
29,191,260,31133
30,186,262,31139
31,194,262,31149
32,193,266,31163
33,187,259,31169
34,185,258,31179
35,188,264,31061
36,193,263,31065
37,194,264,31069
38,191,265,31079
39,198,268,31085
40,187,263,31001
41,193,265,31011
42,195,261,31015
43,190,263,31089
44,188,261,31095
45,189,264,31099
46,0,0,31105
47,0,0,31117
48,193,264,31125
49,197,263,31127
50,196,267,31135
51,191,262,31137
52,0,0,31157
53,0,0,31161
54,188,259,31167
55,0,0,31171
56,172,258,31177
57,0,0,31013
58,178,264,31025
59,202,273,31031
60,189,259,31037
61,192,265,31047
62,185,258,31053
63,194,264,31087
64,197,267,31103
65,192,263,31111
66,195,264,31121
67,189,261,31129
68,188,259,31143
69,195,265,31145
70,195,263,31155
71,184,259,31159
72,0,0,31165
73,184,257,31173
74,198,266,31017
75,196,268,31041
76,183,262,31107
77,174,259,31021
78,188,262,31081
79,183,265,31109
80,186,262,31141
81,188,264,31181
82,0,0,31033
83,161,265,31055
84,194,266,31097
85,177,261,31153
86,182,257,31043
87,197,268,31131
88,184,261,31147
89,190,261,31023
90,192,262,31083
91,193,263,31073
92,194,266,31175
93,195,265,31019
