,green,sen,GEOIDS
1,186,262,31007
2,185,261,31045
3,0,0,31075
4,181,268,31113
5,169,270,31185
6,182,264,31005
7,177,272,31071
8,182,265,31101
9,162,254,31151
10,164,263,31059
11,174,260,31119
12,178,261,31183
13,181,266,31009
14,0,0,31091
15,177,271,31115
16,172,262,31003
17,172,260,31027
18,186,267,31029
19,167,262,31035
20,168,255,31039
21,186,271,31049
22,172,258,31051
23,183,265,31057
24,181,264,31063
25,164,251,31067
26,176,268,31077
27,175,267,31093
28,182,264,31123
29,158,249,31133
30,171,260,31139
31,179,267,31149
32,175,266,31163
33,162,257,31169
34,173,255,31179
35,173,267,31061
36,178,261,31065
37,183,266,31069
38,172,269,31079
39,185,265,31085
40,170,267,31001
41,174,266,31011
42,177,258,31015
43,173,264,31089
44,162,252,31095
45,171,268,31099
46,185,270,31105
47,182,266,31117
48,175,261,31125
49,160,253,31127
50,185,264,31135
51,172,269,31137
52,186,261,31157
53,184,265,31161
54,171,255,31167
55,184,260,31171
56,173,254,31177
57,185,261,31013
58,167,258,31025
59,183,268,31031
60,169,258,31037
61,174,271,31047
62,168,257,31053
63,185,265,31087
64,178,265,31103
65,180,265,31111
66,174,260,31121
67,162,258,31129
68,172,262,31143
69,182,264,31145
70,168,256,31155
71,170,254,31159
72,185,259,31165
73,170,257,31173
74,177,269,31017
75,178,268,31041
76,174,262,31107
77,163,260,31021
78,169,270,31081
79,168,256,31109
80,169,259,31141
81,167,258,31181
82,186,271,31033
83,164,259,31055
84,163,255,31097
85,167,257,31153
86,170,255,31043
87,165,255,31131
88,159,254,31147
89,170,260,31023
90,170,262,31083
91,176,271,31073
92,175,270,31175
93,173,268,31019
