,green,sen,GEOIDS
1,182,266,31007
2,185,263,31045
3,0,0,31075
4,172,259,31113
5,163,261,31185
6,180,272,31005
7,166,265,31071
8,175,262,31101
9,159,254,31151
10,157,255,31059
11,162,260,31119
12,163,260,31183
13,174,276,31009
14,0,0,31091
15,169,259,31115
16,162,260,31003
17,164,255,31027
18,170,264,31029
19,160,257,31035
20,163,260,31039
21,176,252,31049
22,165,257,31051
23,178,257,31057
24,168,251,31063
25,163,251,31067
26,165,267,31077
27,160,256,31093
28,181,267,31123
29,167,241,31133
30,164,257,31139
31,167,260,31149
32,160,259,31163
33,160,253,31169
34,164,259,31179
35,161,255,31061
36,167,250,31065
37,179,273,31069
38,160,256,31079
39,166,259,31085
40,159,257,31001
41,162,263,31011
42,169,245,31015
43,164,262,31089
44,162,247,31095
45,160,257,31099
46,182,266,31105
47,179,265,31117
48,163,259,31125
49,165,248,31127
50,177,258,31135
51,159,262,31137
52,183,270,31157
53,178,269,31161
54,163,258,31167
55,178,265,31171
56,168,259,31177
57,180,269,31013
58,161,261,31025
59,173,262,31031
60,166,259,31037
61,162,265,31047
62,167,260,31053
63,172,245,31087
64,168,264,31103
65,170,261,31111
66,162,255,31121
67,160,252,31129
68,165,256,31143
69,170,250,31145
70,165,260,31155
71,163,257,31159
72,186,271,31165
73,163,259,31173
74,169,265,31017
75,166,262,31041
76,165,255,31107
77,165,259,31021
78,163,261,31081
79,162,260,31109
80,160,259,31141
81,163,249,31181
82,182,271,31033
83,164,258,31055
84,165,255,31097
85,162,257,31153
86,160,258,31043
87,166,260,31131
88,168,246,31147
89,168,257,31023
90,160,254,31083
91,162,266,31073
92,164,266,31175
93,159,260,31019
