,green,sen,GEOIDS
1,178,251,31007
2,176,252,31045
3,0,0,31075
4,168,256,31113
5,156,248,31185
6,178,261,31005
7,169,263,31071
8,170,255,31101
9,153,245,31151
10,151,245,31059
11,167,248,31119
12,167,247,31183
13,170,255,31009
14,0,0,31091
15,174,264,31115
16,165,248,31003
17,163,250,31027
18,171,253,31029
19,156,245,31035
20,162,250,31039
21,171,255,31049
22,163,253,31051
23,168,254,31057
24,165,250,31063
25,156,244,31067
26,168,248,31077
27,164,246,31093
28,174,252,31123
29,155,244,31133
30,163,248,31139
31,164,245,31149
32,163,254,31163
33,159,244,31169
34,163,251,31179
35,165,244,31061
36,164,242,31065
37,169,256,31069
38,159,246,31079
39,169,253,31085
40,163,244,31001
41,165,250,31011
42,164,245,31015
43,163,247,31089
44,160,245,31095
45,162,247,31099
46,178,260,31105
47,178,263,31117
48,168,248,31125
49,153,246,31127
50,170,253,31135
51,161,249,31137
52,180,250,31157
53,175,252,31161
54,164,249,31167
55,166,260,31171
56,157,251,31177
57,176,251,31013
58,154,250,31025
59,168,253,31031
60,159,249,31037
61,165,256,31047
62,158,249,31053
63,168,248,31087
64,168,251,31103
65,168,251,31111
66,170,245,31121
67,160,244,31129
68,158,247,31143
69,167,253,31145
70,158,248,31155
71,159,247,31159
72,186,255,31165
73,164,252,31173
74,167,248,31017
75,170,268,31041
76,162,251,31107
77,161,250,31021
78,155,248,31081
79,154,249,31109
80,162,247,31141
81,166,243,31181
82,173,258,31033
83,157,248,31055
84,153,246,31097
85,155,249,31153
86,160,252,31043
87,155,249,31131
88,149,246,31147
89,159,248,31023
90,162,244,31083
91,163,249,31073
92,168,263,31175
93,162,249,31019
